cleand_text,amazon_transcribe,azure,azure_whisper,mms,seamless,V1_latest_short,V2_short,V2_chirp,V2_chirp_2,whisper_base,whisper_medium,whisper_turbo,리턴제로(vito),한국전자통신연구원(etri)
맞아요. 뒷자리에 앉아계셨던 그분이네요.,맞아요 뒷자리에 앉아 계셨던 그 분이네요.,맞아요? 뒷자리에 앉아 계셨던 그분이네요.,맞아요. 뒷자리에 앉아 계셨던 그분이네요.,마자여 뒤자리의 안자에셨던 그분인내어,"맞아요, 뒤자리에 앉아 계셨던 그분이네요.",맞아요 뒷자리에 앉아 계셨던 그 분이네요.,맞아요 뒷자리에 앉아 계셨던 그 분이네요., 맞아요. 뒷자리에 앉아 계셨던 그분이네요.,맞아요. 뒷자리에 앉아 계셨던 그 분이네요., 맞아요. 귀자리에 앉아 계셨던 구분이네요., 맞아요. 뒷자리에 앉아 계셨던 그분이네요., 맞아요 뒷자리에 앉아 계셨던 그분이네요,"맞아요, 뒷자리에 앉아 계셨던 그분이네요.",맞아요 뒷자리에 앉아 계셨던 그분이네요.
클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클레씩 음막을 들르면 심신의 안정이 되서 자주들어,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심심해 안정이 돼서 자주 들어., 클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어., 클래식 음악을 들으면 심신의 안정이 돼서 자주 들어, 클래식 음악을 들으면 심신의 안정이 돼서 자주 들어, 클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.,클래식 음악을 들으면 심신의 안정이 돼서 자주 들어.
그 시절에도 휴대폰이 있었다니 완전 얼리어댑터네.,그 시절에도 휴대폰이 있었다니 완전 얼리 어디 편해?,그 시절에도 휴대폰이 있었다니 완전 얼리어댑터네.,그 시절에도 휴대폰이 있었다니 완전 얼리 어댑터네,그 시절에도 휴대푸이 있었다니 완전 얼려오대터내,그 시절에도 휴대폰이 있었다니 완전 얼어붙더네.,그 시절에도 휴대폰이 있었다니 완전!,그 시절에도 휴대폰이 있었다니 완전 얼리어대 편해., 그 시절에도 휴대폰이 있었다니 완전 얼리 어댑터네.,그 시절에도 휴대폰이 있었다니 완전 얼리 어댑터네., 부시절에도 휴대폰이 있었다니 완전 얼려 대편해, 그 시절에도 휴대폰이 있었다니 완전 얼리 어댑터네., 그 시절에도 휴대폰이 있었다니 완전 얼리 어댑터네,그 시절에도 휴대폰이 있었다니 완전 얼리어대터네.,그 시절에도 휴대폰이 있었다니 완전 얼리어댑터네
아까 내가 가르쳐준 건 다 해봤니?,아까 내가 가르쳐 준 건 다 해봤니,아까 내가 가르쳐준 건 다 해봤니?,아까 내가 가르쳐 준 건 다 해봤니?,악까 내가 가르차 준건 다 해반니,아까 내가 가르쳐 준 건 다 해봤니?,아까 내가 가르쳐 준 건 다 해 봤니?,아까 내가 가르쳐 준 건 다 해 봤니?, 아까 내가 가르쳐 준 건 다 해봤니?,아까 내가 가르쳐 준 건 다 해 봤니?, 아까 내가 가르쳐 준 건 다 해봤니?, 아까 내가 가르쳐 준 건 다 해봤니?, 아까 내가 가르쳐준 건 다 해봤니,아까 내가 가르쳐준 건 다 해봤니.,아까 내가 가르쳐 준 건 다 해봤니
가산 역에 빵집에서 빵 사보고 싶은데.,가산 역에 빵집에서 빵 사보고 싶은데,가산역에 빵집에서 빵 사보고 싶은데?,가산역에 빵집에서 빵 사보고 싶은데.,가산역에 빵찍에서 빵 사보고 싶분데,가산역에 집에서  사보고 싶은데,가산역 빵집에서 빵 사 보고 싶은데.,가산역 빵집에서 빵 사 보고 싶은데., 가산역에 빵집에서 빵 사 보고 싶은데.,가산역에 빵집에서 빵 사 보고 싶은데., 가산역의 빵집에서 빵 사보고 싶은데, 가산역의 빵집에서 빵 사보고 싶은데, 가산역의 빵집에서 빵 사보고 싶은데…,가산역에 빵집에서 빵 사보고 싶은데.,가산역에 빵집에서 빵 사보고 싶은데
영어 단어 암기 어렵지 않아?,영어 단어 암기 어렵지 않아,영어 단어 암기 어렵지 않아?,영어 단어 안기 어렵지 않아?,영호 다노 안기 어렵지 않나,영어 단어 안기 어렵지 않아?,영어 단어 암기 어렵지 않아.,영어 단어 암기 어렵지 않아., 영어 단어 안기 어렵지 않아?,영어 단어 암기 어렵지 않아?, 영어 단어 안기 어렵지 않아, 영어 단어 암기 어렵지 않아?, 영어 단어 암기 어렵지 않아?,영어 단어 안기 어렵지 않아.,영어 단어 암기 어렵지 않아?
시일이 소요된다는 거 당연히 잘 알고 있죠.,시일이 소요 된다는 거 당연히 잘 알고 있죠.,시일이 소요된다는 거 당연히 잘 알고 있죠.,시일이 소요된다는 거 당연히 잘 알고 있죠.,시일이 소요된다는거 당연이 잘 알고 있며,시일이 소요된다는 거 당연히 잘 알고 있죠,시리 소요된다는 거 당연히 잘 알고 있죠.,시리 소요된다는 거 당연히 잘 알고 있죠., 시일이 소효된다는 거 당연히 잘 알고 있죠.,시일이 소요된다는 거 당연히 잘 알고 있죠., 시일이 소요된다는 거 당연히 잘 알고 있죠., 시일이 소요된다는 거 당연히 잘 알고 있죠?, 시일이 소요된다는 거 당연히 잘 알고 있죠,시일이 소요된다는 거 당연히 잘 알고 있죠.,시일이 소요된다는 거 당연히 잘 알고 있죠
사실은 강아지보다 우리 남편이 운동이 더 필요해.,사실은 강아지보다 우리 남편이 운동이 더 필요해,사실은 강아지보다 우리 남편이 운동이 더 필요해.,사실은 강아지보다 우리 남편이 운동이 더 필요해.,사십 강하지보다 우리 남편이 운동이 더 필요해,사실은 강아지보다 우리 남편이 운동이 더 필요해,사실은 강아지보다 우리 남편이 운동이 더 필요해.,사실은 강아지보다 우리 남편이 운동이 더 필요해., 사실은 강아지보다 우리 남편이 운동이 더 필요해.,사실은 강아지보다 우리 남편이 운동이 더 필요해., 사실은 강아지 보다 우리 남편이 운동이 더 필요해., 사실은 강아지보다 우리 남편이 운동이 더 필요해., 사실은 강아지보다 우리 남편이 운동이 더 필요해,사실은 강아지보다 우리 남편이 운동이 더 필요해.,사실은 강아지보다 우리 남편이 운동이 더 필요해
나중에 다시 알려준다고 했어.,나중에 다시 알려준다고 했어,나중에 다시 알려준다고 했어?,나중에 다시 알려준다고 했어.,나중의 다시 알려준다고 했어,나중에 다시 알려준다고 했어.,나중에 다시 알려 준다고 했어.,나중에 다시 알려 준다고 했어., 나중에 다시 알려 준다고 했어.,나중에 다시 알려 준다고 했어., 나중에 다시 알려준다고 했어., 나중에 다시 알려준다고 했어, 나중에 다시 알려준다고 했어.,나중에 다시 알려준다고 했어.,나중에 다시 알려준다구 했어
올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.,오래는 좋은 성적을 받으면 족겠다,올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다., 올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다., 올해는 좋은 성적을 받으면 좋겠다, 올해는 좋은 성적을 받으면 좋겠다., 올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.,올해는 좋은 성적을 받으면 좋겠다.
자기 전에 양치는 꼭 하고 자야 한다. 알았지?,"자기 전에 양 치는 꼭 하고 자야 한다, 알았지?","자기 전에 양치는 꼭 하고 자야 한다, 알았지?",자기 전에 양치는 꼭 하고 자야 한다. 알았지?,자기 전에 양신는 꼭 하고 자야한다 아았이,자기 전에 양치는 꼭 하고 자야 한다. 알았지?,자기 전에 양치는 꼭 하고 자야 한다 알았지.,자기 전에 양치는 꼭 하고 자야 한다., 자기 전에 양치는 꼭 하고 자야 한다. 알았지?,자기 전에 양치는 꼭 하고 자야 한다. 알았지?, 자기 전에 양치는 꼭 하고 자야 한다 알았지?, 자기 전에 양치는 꼭 하고 자야 한다. 알았지?, 자기 전에 양치는 꼭 하고 자야 한다. 알았지?,자기 전에 양치는 꼭 하고 자야 한다. 알았지.,자기 전에 양치는 꼭 하고 자야 한다. 알았지?
키가 크고 잘빠져서 뭘 입어도 잘 어울려.,키가 크고 잘 빠져서 멀 입어도 잘 어울려.,키가 크고 잘 빠져서 몰리버드 잘 어울려?,키가 크고 잘 빠져서 뭘 입어도 잘 어울려,키각 크고 잘빠져서 원리버두 차라울려,키가 크고 잘 빠져서 몰리버도 잘 어울려,키가 크고 잘 빠져서 뭘 입어도 잘 어울려.,키가 크고 잘 빠져서 뭘 입어도 잘 어울려., 키가 크고 잘 빠져서 멀리버도 잘 어울려.,키가 크고 잘 빠져서 멀리 봐도 잘 어울려., 기각 크고 잘 빠져서 월리버도 잘 어울려, 키가 크고 잘 빠져서 뭘 입어도 잘 어울려, 키가 크고 잘 빠져서 뭘 입어도 잘 어울려.,키가 크고 잘 빠져서 뭘 입어도 잘 어울려.,키가 크고 잘 빠져서 뭘 입어도 잘 어울려.
야 너는 지금 그게 사과하는 사람 태도냐?,야 너는 지금 그게 사과하는 사람 태도야?,"야, 너는 지금 그게 사과하는 사람 태도냐?","야, 너는 지금 그게 사과하는 사람 태도냐?",야 너는 지금 크게 사고 하는 사람 태도냐,"야, 너는 지금 그렇게 사과하는 사람 태도냐?","야, 너는 지금 그게 사과하는 사람 태도야.","야, 너는 지금 그게 사과하는 사람 태도야."," 야, 너는 지금 그게 사과하는 사람 태도냐?","야, 너는 지금 그게 사과하는 사람 태도냐?", 야 너는 지금 그게 사과하는 사람 태도냐?," 야, 너는 지금 그게 사과하는 사람 태도냐?", 야 너는 지금 그게 사과하는 사람 태도냐?,"야, 너는 지금 그게 사과는 사람 태도냐.","야, 너는 지금 그게 사과하는 사람 태도냐?"
핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다.,맨드포을 손에서 아의 노을 수 있었답니다,드폰을 손에서 아예 놓을 수 있었다니다,핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다., 핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다., 핸드폰을 손에서 아예 놓을 수 있었답니다., 핸드폰을 손에서 아예 놓을 수 있었답니다., 핸드폰을 손에서 아예 놓을 수 있었답니다,핸드폰을 손에서 아예 놓을 수 있었답니다.,핸드폰을 손에서 아예 놓을 수 있었답니다
아직 점심시간이 되려면 멀었는데요.,아직 점심 시간이 되려면 멀었는데,아직 점심시간이 되려면 멀었는데요.,아직 점심시간이 되려면 멀었는데요.,아직 점심시간이 되려면 머었는데여,아직 점심시간이 되려면 멀었는데요,아직 점심시간이 되려면 멀었는데.,아직 점심시간이 되려면 멀었는데., 아직 점심 시간이 되려면 멀었는데요.,아직 점심 시간이 되려면 멀었는데요., 아직 점심 시간이 되려면 멀었는데요., 아직 점심시간이 되려면 멀었는데요, 아직 점심 시간이 되려면 멀었는데요,아직 점심시간이 되려면 멀었는데요.,아직 점심 시간이 되려면 멀었는데요
지하철에서 그곳까지 몇 분이나 걸려요?,지하철에서 그 곳까지 몇 분이나 걸려요.,지하철에서 그곳까지 몇 분이나 걸려요?,지하철에서 그곳까지 몇 분이나 걸려요?,지아철에서 그곳까지 몇분이나올려요,지하철에서 거기까지 몇 분이나 걸려요?,지하철에서 그곳까지 몇 분이나 걸려요.,지하철에서 그곳까지 몇 분이나 걸려요., 지하철에서 그곳까지 몇 분이나 걸려요.,지하철에서 그곳까지 몇 분이나 걸려요?, 지하철에서 그 곳까지 몇 분이나 걸려요, 지하철에서 그곳까지 몇 분이나 걸려요?, 지하철에서 그곳까지 몇 분이나 걸려요,지하철에서 그곳까지 몇 분이나 걸려요.,지하철에서 그곳까지 몇 분이나 걸려요?
만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.,만태는 당법이 나았으면 족겠다,만들는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다., 만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다., 만드는 방법이 나왔으면 좋겠다, 만드는 방법이 나왔으면 좋겠다, 만드는 방법이 나았으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.,만드는 방법이 나왔으면 좋겠다.
이번 주말에 뭐 해? 영화 보러 갈래?,이번 주말에 뭐 해? 영화 보러 갈래?,이번 주말에 뭐해? 영화 보러 갈래?,이번 주말에 뭐해? 영화 보러 갈래?,이번 주마를 보해 영화보로 갈래,이번 주말에 뭐해? 영화 보러 갈래?,이번 주말에 뭐 해 영화 보러 갈래?,이번 주말에 뭐 해 영화 보러 갈래?, 이번 주말에 뭐 해? 영화 보러 갈래?,이번 주말에 뭐 해? 영화 보러 갈래?, 이번 주말에 뭐해? 영화보러 갈래?, 이번 주말에 뭐해? 영화 보러 갈래?, 이번 주말에 뭐해 영화 보러 갈래,이번 주말에 뭐해 영화 보러 갈래?,이번 주말에 뭐해? 영화 보러 갈래?
완전히 어둠 속에서는 무서워서 꼼짝도 못 할 거 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아.,완전이 어둠속에서는 무서워서 꿈착도 못할고 같다,완전히 어 속에서는 무서워서 꿈도 못할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못 할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못 할 것 같아., 완전히 어둠 속에서는 무서워서 꼼짝도 못 할 것 같아.,완전히 어둠 속에서는 무서워서 꿈짝도 못 할 것 같아., 완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아., 완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아, 완전히 어둠 속에서는 무서워서 꼼짝도 못 할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아.,완전히 어둠 속에서는 무서워서 꼼짝도 못할 것 같아.
비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올게요,비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올게요.,미가 오지 않으면 내일 도석관에 다녀울개요,비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올게요., 비가 오지 않으면 내일 도서관에 다녀 올게요.,비가 오지 않으면 내일 도서관에 다녀올게요., 비가 오지 않으면 내일 도서관에 다녀올게요., 비가 오지 않으면 내일 도서관에 다녀올게요., 비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올게요.,비가 오지 않으면 내일 도서관에 다녀올께요.
금방 해서 다 따라잡을 거예요.,금방 해서 다 따라잡을 거예요,금방 해서 다 따라잡을 거예요.,금방 해서 다 따라잡을 거예요.,근방 해서 다 따라잡을 고해여,금방 해서 다 따라잡을 거예요,금방 해서 다 따라 잡을 거예요.,금방 해서 다 따라 잡을 거예요., 금방 해서 다 따라잡을 거예요.,금방 해서 다 따라 잡을 거예요., 금방 해서 다 따라잡을 거예요, 금방 해서 다 따라잡을 거예요., 금방 해서 다 따라잡을 거예요,금방 해서 다 따라잡을 거예요.,금방 해서 다 따라잡을 거에요
귀가 멍해지고 머릿속이 하얘져.,귀가 멍 해지고 머릿속이 하얗지.,귀가 멍해지고 머릿속이 하얘져?,귀가 멍해지고 머릿속이 하얘져.,귀가 멍해지고 머리 속이 하해져,귀가 해지고 머리 속이 하해져,귀가 멍해지고 머릿속이 하얘져.,귀가 멍해지고 머릿속이 하얘져., 귀가 멍해지고 머릿속이 하해져.,귀가 멍해지고 머릿속이 하해져., 귀가 멍해지고 머릿속이 하얘져, 귀가 멍해지고 머릿속이 하얘져, 귀가 멍해지고 머릿속이 하얘져,귀가 멍해지고 머릿속이 하얘져.,귀가 멍해지고 머릿속이 하얘져
갑자기 나오라고 해서 당황했잖아.,갑자기 나오라고 해서 당황 했잖아,갑자기 나오라고 해서 당황했잖아.,갑자기 나오라고 해서 당황했잖아.,갑자이 나오라고에서 당황했자나,갑자기 나오라고 해서 당황했잖아!,갑자기 나오라고 해서 당황했어.,갑자기 나오라고 해서 당황했어., 갑자기 나오라고 해서 당황했잖아.,갑자기 나오라고 해서 당황했잖아., 갑자기 나오라고 해서 당황했잖아, 갑자기 나오라고 해서 당황했잖아, 갑자기 나오라고 해서 당황했잖아.,갑자기 나오라고 해서 당황했잖아.,갑자기 나오라고 해서 당황했잖아.
내가 배달 주문시킬까?,내가 배달 주문 시킬까,내가 배달 주문 시킬까?,내가 배달 주문 시킬까?,내가 배달 주은 시킬까,내가 배달 주문 시킬까?,내가 배달 주문 시킬까?,내가 배달 주문 시킬까?, 내가 배달 주문시킬까?,내가 배달 주문 시킬까?, 내가 배달 주문 시킬까?, 내가 배달 주문 시킬까?, 내가 배달 주문시킬까?,내가 배달 주문 시킬까?,내가 배달 주문시킬까?
우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하로 갈가,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?, 우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?, 우리 오늘 쇼핑하러 갈까?, 우리 오늘 쇼핑하러 갈까?, 우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?,우리 오늘 쇼핑하러 갈까?
아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지 발가락에 군 살이 겁나게 생겼어,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아지마다 조긴을 하니까 엄지발가락게 군사리 검락게 생겼소,아침마다 조을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어., 아침마다 조딩을 하니까 엄지 발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어., 아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어., 아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어, 아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어.,아침마다 조깅을 하니까 엄지발가락에 군살이 겁나게 생겼어
좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫 하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,조안는 일을 하고 십다가도 돈을 생각하면 약간 멈치탁에 되돌라,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라., 좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라., 좋아하는 일을 하고 싶다가도 돈을 생각하면 멈췄하게 되더라., 좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라, 좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라.,좋아하는 일을 하고 싶다가도 돈을 생각하면 약간 멈칫하게 되더라고요.
여기서 잠시 기다리세요 곧 돌아올게요.,여기서 잠시 기다리세요. 곧 돌아올게요,여기서 잠시 기다리세요. 곧 돌아올게요.,여기서 잠시 기다리세요. 곧 돌아올게요.,여기서 잠시 기따리 되어 곧 돌아 올개요,여기서 잠시 기다리세요 곧 돌아올게요,여기서 잠시 기다리세요 곧 돌아올게요.,여기서 잠시 기다리세요 곧 돌아올게요., 여기서 잠시 기다리세요. 곧 돌아올게요.,여기서 잠시 기다리세요. 곧 돌아올게요., 여기서 잠시 기다리세요. 곧 돌아올게요, 여기서 잠시 기다리세요. 곧 돌아올게요., 여기서 잠시 기다리세요. 곧 돌아올게요.,"여기서 잠시 기다리세요, 곧 돌아올게요.",여기서 잠시 기다리세요. 곧 돌아 올게요.
